name,rating,reviews,interviews,benefits,Higher_rate_for,lower_rate_for
TCS,3.8,72.3k,5.9k,11.4k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Accenture,4.0,45.7k,4.2k,7k,"Company Culture, Job Security, Skill Development / Learning",
Cognizant,3.9,41.2k,3.5k,5.8k,Skill Development / Learning,Promotions / Appraisal
Wipro,3.8,38.4k,3.6k,5k,Job Security,"Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.9,33.5k,1.5k,3.2k,"Job Security, Skill Development / Learning",Promotions / Appraisal
ICICI Bank,4.0,33.2k,1.8k,3.7k,"Job Security, Skill Development / Learning, Company Culture",
Infosys,3.8,31.4k,4.6k,5.1k,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
Capgemini,3.8,29.3k,2.4k,3.9k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
HCLTech,3.6,28.1k,2.4k,4.1k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.7,27.2k,2.4k,3.6k,"Promotions / Appraisal, Salary & Benefits",
Genpact,3.9,25.9k,1.9k,3.6k,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
Axis Bank,3.8,21.8k,1.1k,2.2k,Job Security,
Teleperformance,3.6,21.6k,1.2k,2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Concentrix Corporation,3.9,21.5k,1.1k,3.3k,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Amazon,4.2,20.5k,3.3k,4.2k,"Company Culture, Salary & Benefits, Work Life Balance",
Reliance Jio,4.0,20.4k,1.2k,2.6k,"Job Security, Skill Development / Learning",Promotions / Appraisal
IBM,4.1,19.5k,1.5k,2.7k,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
Reliance Retail,3.9,18.6k,1.1k,2k,"Skill Development / Learning, Job Security",Promotions / Appraisal
Larsen & Toubro Limited,4.0,18.5k,1k,2.9k,"Job Security, Skill Development / Learning",
HDB Financial Services,4.0,17.9k,570,1.5k,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
Vodafone Idea,4.2,15.3k,429,2k,"Company Culture, Work Life Balance, Salary & Benefits",
BYJU'S,3.1,14.4k,1.8k,1.9k,"Job Security, Work Life Balance, Company Culture",
Deloitte,3.9,14.2k,1.6k,2.5k,"Job Security, Salary & Benefits, Skill Development / Learning",
Kotak Mahindra Bank,3.8,14.1k,718,1.3k,Job Security,Promotions / Appraisal
Reliance Industries,4.0,13.5k,919,1.9k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Bharti Airtel,4.0,12.1k,566,1.6k,"Skill Development / Learning, Job Security, Company Culture",
iEnergizer,4.6,11.8k,302,509,"Company Culture, Skill Development / Learning, Job Security",
Tata Motors,4.2,11.1k,736,1.7k,"Job Security, Skill Development / Learning, Company Culture",
Flipkart,4.1,9.6k,986,1.5k,"Skill Development / Learning, Company Culture, Job Security",
WNS,3.5,9.6k,702,1.4k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
IndusInd Bank,3.7,9.1k,411,800,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Ernst & Young,3.6,8.8k,743,1.3k,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
AU Small Finance Bank,4.5,8.7k,298,487,"Skill Development / Learning, Job Security, Company Culture",
Mahindra & Mahindra,4.2,8.6k,461,1.3k,"Job Security, Skill Development / Learning, Company Culture",
Infosys BPM,3.9,8.2k,658,1.1k,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
DXC Technology,3.8,8.2k,553,1.2k,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
IDFC FIRST Bank,4.0,8k,426,720,"Salary & Benefits, Skill Development / Learning, Job Security",
Conneqt Business Solutions,3.7,7.6k,309,800,"Promotions / Appraisal, Salary & Benefits",
HDFC Life,4.1,7.6k,413,634,"Skill Development / Learning, Job Security, Company Culture",
LTIMindtree,3.7,7.5k,892,847,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Bajaj Finserv,4.0,7.4k,329,747,"Salary & Benefits, Skill Development / Learning, Job Security",
Mphasis,3.5,6.9k,471,876,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
PwC,3.6,6.8k,768,862,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Samsung,4.1,6.8k,414,562,"Job Security, Salary & Benefits, Skill Development / Learning",
HSBC Group,4.1,6.7k,352,1.2k,"Job Security, Work Life Balance, Company Culture",
Hinduja Global Solutions,3.9,6.7k,175,1k,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Startek,3.2,6.7k,313,703,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
